time,stairsElevators,workingNow,BothLiftAndStairs_WhyLift,BothLiftAndStairs_WhyStairs,whyLift,whyStairs,workStationType,adjustedWorkstationToday,StairsConvenientBecuause,BOTH_StairsConvenientBecuause,LiftConvenientBecuause,BOTH_LiftConvenientBecuause,areYou,heartRate,lat,lon,Accuracy,Floor,Latitude,Longitude,Space_id,Userid
2021-04-18 17:12:08.991000+08:00,10,11.0,,,,11.0,,,,,,,11.0,,,,3.25,3.0,1.2968514101643176,103.77050262878734,2.0,onith29
2021-04-18 19:02:25.491000+08:00,12,10.0,,,,,10.0,,,,,,10.0,,,,1.75,3.0,1.2968318804256302,103.7705097991137,2.0,onith29
2021-04-18 21:42:34.689000+08:00,12,10.0,,,,,10.0,,,,,,10.0,,,,,,,,,
2021-04-18 23:17:12.112000+08:00,10,10.0,,,,11.0,10.0,,,,,,10.0,,,,,,,,,
2021-04-19 10:47:53.883000+08:00,10,11.0,,,,11.0,,,,,,,10.0,,,,9.25,3.0,1.2968267492106604,103.770511668158,2.0,onith29
2021-04-19 14:59:13.135000+08:00,12,10.0,,,,,10.0,,,,,,10.0,,,,2.5,3.0,1.2968030966651285,103.77050273901709,2.0,onith29
2021-04-19 16:24:36.072000+08:00,10,10.0,,,,11.0,10.0,,,,,,10.0,,,,4.75,3.0,1.2968556200225998,103.77047441889427,2.0,onith29
2021-04-19 16:51:35.885000+08:00,12,10.0,,,,,10.0,,,,,,10.0,,,,4.75,3.0,1.2968556200225998,103.77047441889427,2.0,onith29
2021-04-19 20:12:40.416000+08:00,10,11.0,,,,11.0,,,,,,,10.0,,,,1.75,3.0,1.296793409490156,103.77048165259504,2.0,onith29
2021-04-19 23:12:14.830000+08:00,10,11.0,,,,11.0,,,,,,,11.0,,,,,,,,,
2021-03-31 14:14:52.495000+08:00,11,10.0,,,9.0,,10.0,,,,9.0,,10.0,68.0,1.2967633333333333,103.77042166666666,6.25,3.0,1.2967617920917205,103.77044690094584,0.0,onith35
2021-03-31 21:15:53.217000+08:00,10,11.0,,,,10.0,,,,,,,10.0,64.0,1.3289283333333333,103.7576,4.25,3.0,1.2969237123933717,103.77048191262129,54.0,onith35
2021-04-01 09:59:16.531000+08:00,9,10.0,9.0,9.0,,,10.0,,,10.0,,9.0,10.0,72.0,1.2967533333333332,103.77042166666666,5.5,3.0,1.2967821403176942,103.77047161094036,2.0,onith35
2021-04-01 14:47:24.572000+08:00,12,10.0,,,,,10.0,,,,,,10.0,66.0,1.2967616666666668,103.77043166666668,2.5,3.0,1.2968816205335665,103.77051429183996,3.0,onith35
2021-04-01 17:58:43.740000+08:00,10,11.0,,,,11.0,,,,,,,10.0,67.0,1.297955,103.771245,93.75,3.0,1.2968861423615603,103.77031548870224,0.0,onith35
2021-04-01 23:10:12.781000+08:00,11,11.0,,,11.0,,,,,,,,10.0,64.0,1.3650383333333334,103.76379333333334,,,,,,
2021-04-05 13:46:02.467000+08:00,12,10.0,,,,,10.0,,,,,,10.0,68.0,,,3.25,3.0,1.2968477068236102,103.77068652018916,54.0,onith35
2021-04-05 18:54:14.107000+08:00,9,11.0,9.0,9.0,,,,,,9.0,,9.0,10.0,69.0,1.2967566666666666,103.770425,1.0,3.0,1.296775782486746,103.7704606803758,2.0,onith35
2021-04-05 20:46:24.256000+08:00,11,11.0,,,11.0,,,,,,,,10.0,73.0,1.3650833333333334,103.76380833333332,,,,,,
2021-04-05 22:14:32.857000+08:00,12,11.0,,,,,,,,,,,10.0,74.0,1.365033333333333,103.76379833333333,,,,,,
2021-04-06 09:47:30.505000+08:00,9,11.0,11.0,9.0,,,,,,9.0,,,10.0,110.0,1.2969183333333334,103.770185,2.75,3.0,1.2969358824694963,103.77025820644222,0.0,onith35
2021-04-06 11:56:03.532000+08:00,10,11.0,,,,11.0,,,,,,,11.0,92.0,1.2969333333333333,103.77036,9.25,4.0,1.2969759056408263,103.7703751187847,55.0,onith35
2021-04-06 20:13:18.824000+08:00,10,11.0,,,,11.0,,,,,,,11.0,90.0,1.2977983333333334,103.76966166666666,49.25,2.0,1.2970299925987936,103.77027617734731,53.0,onith35
2021-04-07 09:06:27.640000+08:00,11,11.0,,,11.0,,,,,,,,10.0,74.0,1.3437883333333334,103.75871333333332,12.0,3.0,1.2969825134048545,103.77025371371596,0.0,onith35
2021-04-09 11:48:24.655000+08:00,11,11.0,,,11.0,,,,,,,,11.0,93.0,1.3603866666666666,103.76415666666666,,,,,,
2021-04-09 14:30:27.997000+08:00,10,11.0,,,,10.0,,,,,,,10.0,82.0,1.296703333333333,103.77054166666667,,,,,,
2021-04-12 10:38:13.774000+08:00,9,10.0,11.0,11.0,,,10.0,,,,,,10.0,108.0,,,,,,,,
2021-04-12 14:47:18.408000+08:00,9,10.0,11.0,9.0,,,10.0,,,11.0,,,10.0,86.0,,,,,,,,
2021-04-12 16:26:43.503000+08:00,11,10.0,,,11.0,,10.0,,,,,,10.0,82.0,,,,,,,,
2021-04-12 17:07:28.014000+08:00,12,10.0,,,,,10.0,,,,,,10.0,73.0,,,,,,,,
2021-04-12 22:55:56.331000+08:00,12,11.0,,,,,,,,,,,11.0,90.0,,,,,,,,
2021-04-13 15:13:25.527000+08:00,12,10.0,,,,,10.0,,,,,,10.0,74.0,,,,,,,,
2021-04-13 17:00:17.860000+08:00,12,10.0,,,,,10.0,,,,,,10.0,71.0,1.2967533333333332,103.770415,38.25,3.0,1.297556785560116,103.7709852864865,,onith35
2021-04-13 17:57:48.514000+08:00,10,11.0,,,,9.0,,,11.0,,,,11.0,81.0,1.2955783333333333,103.77081333333334,38.25,3.0,1.297556785560116,103.7709852864865,,onith35
2021-04-13 18:24:52.327000+08:00,9,11.0,11.0,10.0,,,,,,,,,10.0,78.0,1.2967633333333333,103.770415,5.5,3.0,1.2968951860175488,103.77050755275057,3.0,onith35
2021-04-13 21:41:47.278000+08:00,12,11.0,,,,,,,,,,,11.0,88.0,1.2973333333333334,103.77030166666668,5.5,6.0,1.2971633865246222,103.7706730420103,,onith35
2021-04-13 22:42:40.670000+08:00,9,11.0,11.0,10.0,,,,,,,,,10.0,66.0,1.3651283333333333,103.763775,,,,,,
2021-04-14 11:38:25.380000+08:00,10,10.0,,,,11.0,10.0,,,,,,10.0,64.0,1.2967566666666666,103.77040833333334,,,,,,
2021-04-14 15:23:42.549000+08:00,12,10.0,,,,,10.0,,,,,,10.0,65.0,1.2967516666666667,103.77040166666669,,,,,,
2021-04-14 23:32:11.575000+08:00,9,11.0,11.0,10.0,,,,,,,,,10.0,67.0,1.3651266666666666,103.76378000000001,,,,,,
2021-04-15 09:57:13.670000+08:00,9,11.0,11.0,11.0,,,,,,,,,11.0,106.0,1.3053299999999999,103.76962333333331,,,,,,
2021-04-15 11:48:07.198000+08:00,10,11.0,,,,11.0,,,,,,,10.0,83.0,,,,,,,,
2021-04-15 15:52:10.077000+08:00,12,10.0,,,,,10.0,,,,,,10.0,64.0,1.2967566666666666,103.77039833333332,,,,,,
2021-04-15 16:58:46.719000+08:00,12,10.0,,,,,10.0,,,,,,10.0,75.0,1.2967616666666668,103.77040500000001,,,,,,
2021-04-16 11:00:39.248000+08:00,9,11.0,9.0,11.0,,,,,,,,9.0,11.0,90.0,1.30551,103.76987166666666,,,,,,
2021-04-16 13:48:32.201000+08:00,10,11.0,,,,9.0,,,11.0,,,,10.0,70.0,1.296776666666667,103.77036,,,,,,
2021-04-16 17:36:21.452000+08:00,10,10.0,,,,12.0,10.0,,,,,,10.0,72.0,1.2967716666666669,103.770365,,,,,,
