time,stairsElevators,workingNow,BothLiftAndStairs_WhyLift,BothLiftAndStairs_WhyStairs,whyLift,whyStairs,workStationType,adjustedWorkstationToday,StairsConvenientBecuause,BOTH_StairsConvenientBecuause,LiftConvenientBecuause,BOTH_LiftConvenientBecuause,areYou,heartRate,lat,lon,Accuracy,Floor,Latitude,Longitude,Space_id,Userid
2021-04-08 17:17:20.705000+08:00,12,10.0,,,,,10.0,,,,,,10.0,66.0,1.29654,103.77033,8.25,3.0,1.2968251020999366,103.77049674151849,2.0,onith27
2021-04-08 18:45:15.500000+08:00,10,11.0,,,,10.0,,,,,,,11.0,74.0,1.291826666666667,103.780415,13.75,3.0,1.2968424917075343,103.77051135884436,2.0,onith27
2021-04-09 12:49:58.060000+08:00,10,11.0,,,,9.0,,,9.0,,,,10.0,114.0,,,,,,,,
2021-04-09 14:55:58.459000+08:00,12,10.0,,,,,10.0,,,,,,10.0,70.0,,,4.25,3.0,1.2968431849956157,103.77047610366662,2.0,onith27
2021-04-09 15:13:30.673000+08:00,12,11.0,,,,,,,,,,,10.0,72.0,,,6.25,6.0,1.297190517492587,103.77065057837895,,onith27
2021-04-09 15:41:45.986000+08:00,12,10.0,,,,,10.0,,,,,,10.0,76.0,1.296485,103.77036666666666,5.5,3.0,1.2967979667156742,103.77044690094584,2.0,onith27
2021-04-09 16:02:15.907000+08:00,12,10.0,,,,,10.0,,,,,,10.0,67.0,1.2964533333333332,103.77039333333332,7.25,6.0,1.2972470403425145,103.77058842182352,,onith27
2021-04-09 17:17:32.232000+08:00,12,11.0,,,,,,,,,,,10.0,75.0,1.2965183333333332,103.77025666666668,4.25,3.0,1.2972018220625725,103.77041095913563,111.0,onith27
2021-04-09 20:44:05.783000+08:00,12,11.0,,,,,,,,,,,10.0,75.0,,,13.75,3.0,1.2974053043223108,103.77033458278892,139.0,onith27
2021-04-09 23:43:08.972000+08:00,12,11.0,,,,,,,,,,,10.0,66.0,,,6.25,6.0,1.2971814738365988,103.77065507110521,,onith27
2021-04-12 13:14:12.820000+08:00,10,11.0,,,,11.0,,,,,,,10.0,112.0,,,7.25,3.0,1.2973284332464097,103.77033233642578,110.0,onith27
2021-04-12 15:04:27.036000+08:00,12,10.0,,,,,10.0,,,,,,10.0,82.0,1.2964966666666666,103.77026666666669,1.5,3.0,1.2968748377915749,103.77050755275057,3.0,onith27
2021-04-12 17:51:37.151000+08:00,12,11.0,,,,,,,,,,,11.0,82.0,,,49.25,3.0,1.2968239672266404,103.77047385730349,2.0,onith27
2021-04-12 20:34:13.275000+08:00,10,11.0,,,,9.0,,,10.0,,,,10.0,102.0,,,2.5,4.0,1.2973419987303922,103.77036378550972,,onith27
2021-04-12 21:07:00.152000+08:00,12,10.0,,,,,10.0,,,,,,10.0,88.0,,,2.5,4.0,1.2973419987303922,103.77036378550972,,onith27
2021-04-12 21:51:17.695000+08:00,12,11.0,,,,,,,,,,,10.0,74.0,1.2966266666666666,103.77031333333332,29.5,6.0,1.2971995611485754,103.770709725433,,onith27
2021-04-12 22:35:12.241000+08:00,12,11.0,,,,,,,,,,,10.0,73.0,,,8.25,4.0,1.297260605826497,103.77040871277248,,onith27
2021-04-13 14:07:35.966000+08:00,12,11.0,,,,,,,,,,,10.0,81.0,,,6.25,3.0,1.2969358824694963,103.77050530638742,5.0,onith27
2021-04-13 15:05:44.270000+08:00,12,10.0,,,,,10.0,,,,,,10.0,74.0,,,3.75,3.0,1.2968183149416477,103.7704805963929,2.0,onith27
2021-04-13 19:20:21.046000+08:00,10,11.0,,,,9.0,,,10.0,,,,10.0,89.0,,,,,,,,
2021-04-13 20:47:10.330000+08:00,12,11.0,,,,,,,,,,,11.0,99.0,,,,,,,,
2021-04-13 22:26:12.067000+08:00,12,10.0,,,,,10.0,,,,,,10.0,82.0,,,,,,,,
2021-04-14 13:06:18.156000+08:00,12,11.0,,,,,,,,,,,10.0,80.0,,,,,,,,
2021-04-14 16:16:42.141000+08:00,12,10.0,,,,,10.0,,,,,,10.0,70.0,1.296435,103.77029166666668,2.75,3.0,1.2968115321996565,103.77045364003523,2.0,onith27
2021-04-14 19:19:47.001000+08:00,11,11.0,,,11.0,,,,,,,,10.0,70.0,,,3.25,3.0,1.2973894779243311,103.77034356824149,139.0,onith27
2021-04-14 20:39:27.244000+08:00,12,11.0,,,,,,,,,,,10.0,70.0,,,1.75,6.0,1.2971859956645928,103.77064682726513,,onith27
2021-04-14 21:32:25.145000+08:00,12,11.0,,,,,,,,,,,10.0,70.0,,,6.25,6.0,1.2971475601266422,103.77068276907532,,onith27
2021-04-16 13:45:58.168000+08:00,10,11.0,,,,9.0,,,10.0,,,,10.0,70.0,,,3.75,3.0,1.2973894779243311,103.77035704642029,112.0,onith27
2021-04-16 15:19:59.301000+08:00,12,10.0,,,,,10.0,,,,,,10.0,79.0,1.2965483333333334,103.77032333333334,5.5,6.0,1.2971679083526162,103.7706760299859,,onith27
2021-04-16 16:28:31.128000+08:00,12,10.0,,,,,10.0,,,,,,10.0,70.0,1.2964950000000002,103.77033666666668,3.75,3.0,1.2973533033003777,103.77041769822505,113.0,onith27
2021-04-16 20:08:36.665000+08:00,12,10.0,,,,,10.0,,,,,,10.0,70.0,,,15.5,3.0,1.2968002276296708,103.77052777001879,4.0,onith27
2021-04-16 20:47:20.126000+08:00,12,10.0,,,,,10.0,,,,,,10.0,70.0,,,8.25,3.0,1.2968499677376069,103.77050530638742,2.0,onith27
2021-04-18 15:55:35.223000+08:00,11,10.0,,,9.0,,10.0,,,,11.0,,10.0,,,,2.75,3.0,1.2967974014871748,103.7704693645772,2.0,onith29
2021-04-18 16:03:48.815000+08:00,12,10.0,,,,,10.0,,,,,,10.0,,,,17.75,3.0,1.2968002276296708,103.7704918282086,2.0,onith29
2021-04-18 17:11:55.454000+08:00,12,11.0,,,,,,,,,,,11.0,,,,3.25,3.0,1.2968514101643176,103.77050262878734,2.0,onith29
