time,aloneOrInAGroup,Alone_categoryOfActivity,Group_categoryOfActivity,Group_PossiblyDistractingOthers,Online_categoryOfActivity,DistractionsNearby,NeedMorePrivacy,ALittle_WhatKindOfDistraction,ALot_WhatKindOfDistraction,WhatIsIt,whyMorePrivacyNeeded,WhatPeopleSee,heartRate,lat,lon,Accuracy,Floor,Latitude,Longitude,Space_id,Userid
2021-04-14 14:36:45.166000+08:00,9,11.0,,,,9.0,11.0,,,,,,59.0,1.2964950000000002,103.77031666666667,13.75,3.0,1.2968205758556448,103.7705097991137,2.0,onith26
2021-04-14 14:57:46.702000+08:00,11,,,,,,11.0,,,,,,55.0,1.29653,103.77029,10.5,6.0,1.297145299212645,103.77060639272864,,onith26
2021-04-14 16:50:08.730000+08:00,9,11.0,,,,9.0,11.0,,,,,,54.0,1.2964966666666666,103.77031333333332,17.75,6.0,1.2971294728146656,103.77061463656874,,onith26
2021-04-14 17:21:55.787000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,67.0,1.2965066666666667,103.77034833333332,15.5,3.0,1.2968522286516042,103.77054349456075,,onith26
2021-04-14 17:50:40.357000+08:00,9,11.0,,,,9.0,11.0,,,,,,62.0,1.2965416666666667,103.77029166666668,6.25,3.0,1.2973419987303922,103.77041320549877,113.0,onith26
2021-04-14 18:31:29.498000+08:00,9,11.0,,,,10.0,10.0,,11.0,,9.0,,60.0,1.2964883333333337,103.770315,5.5,6.0,1.297138516470654,103.77063559544943,,onith26
2021-04-16 14:23:07.459000+08:00,9,11.0,,,,9.0,11.0,,,,11.0,,63.0,1.296471666666667,103.77027333333334,,,,,,
2021-04-16 14:59:35.605000+08:00,11,,,,,,11.0,,,,,,58.0,1.2965,103.77027666666666,,,,,,
2021-04-16 14:59:43.076000+08:00,9,11.0,,,,9.0,11.0,,,,,,59.0,1.2965,103.77027666666666,,,,,,
2021-04-16 15:35:20.193000+08:00,9,10.0,,,,9.0,11.0,,,,,,67.0,1.2979733333333332,103.77131666666666,,,,,,
2021-04-16 16:21:42.796000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,59.0,1.296535,103.77032333333334,,,,,,
2021-04-16 17:50:10.885000+08:00,9,10.0,,,,9.0,11.0,,,,,,58.0,1.2964766666666667,103.77035,,,,,,
2021-04-16 18:18:24.898000+08:00,9,11.0,,,,9.0,11.0,,,,,,65.0,1.2964983333333333,103.77031833333334,,,,,,
2021-04-16 20:23:37.046000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,52.0,,,,,,,,
2021-04-16 22:28:08.860000+08:00,9,10.0,,,,9.0,11.0,,,,,,70.0,1.2964833333333334,103.77030333333332,,,,,,
2021-04-16 22:53:34.263000+08:00,9,10.0,,,,9.0,11.0,,,,,,68.0,1.2964616666666666,103.77024499999999,10.5,6.0,1.2971724301806102,103.7706595638315,,onith26
2021-03-31 13:40:23.607000+08:00,9,11.0,,,,9.0,10.0,,,,10.0,,70.0,1.2967616666666668,103.77042333333333,1.75,3.0,1.2967753575757028,103.7704693645772,2.0,onith35
2021-03-31 13:46:21.042000+08:00,10,,9.0,10.0,,10.0,10.0,,11.0,,10.0,,66.0,1.2967633333333333,103.770425,4.25,3.0,1.2967979667156742,103.7704918282086,2.0,onith35
2021-04-01 11:33:42.100000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,70.0,1.2967583333333332,103.77042666666668,3.75,3.0,1.2967685830696871,103.77049112491535,2.0,onith35
2021-04-01 13:26:09.473000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,66.0,1.2967600000000001,103.77042666666668,3.75,3.0,1.2968103325172975,103.7704891654726,2.0,onith35
2021-04-01 14:31:54.757000+08:00,9,10.0,,,,9.0,11.0,,,,,,84.0,1.2967633333333333,103.77041666666666,2.5,3.0,1.2968816205335665,103.77051429183996,3.0,onith35
2021-04-05 14:26:18.402000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,68.0,1.2970933333333334,103.7709,3.25,3.0,1.2968557611054825,103.77069229073669,54.0,onith35
2021-04-05 17:43:28.585000+08:00,11,,,,10.0,11.0,11.0,11.0,,,,,67.0,1.2967683333333333,103.770425,5.5,3.0,1.2967729564412935,103.77046571422908,2.0,onith35
2021-04-05 18:41:59.195000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,71.0,1.2970516666666667,103.77025,4.25,3.0,1.2967773225966948,103.77047107298979,2.0,onith35
2021-04-05 18:44:22.442000+08:00,9,11.0,,,,10.0,10.0,,11.0,,11.0,11.0,71.0,1.2970516666666667,103.77025,1.5,3.0,1.2969130569334988,103.77019156141084,0.0,onith35
2021-04-05 18:45:50.532000+08:00,9,11.0,,,,10.0,10.0,,9.0,,11.0,11.0,66.0,1.2970516666666667,103.77025,8.25,3.0,1.297015998792682,103.770317411597,0.0,onith35
2021-04-05 18:47:10.286000+08:00,9,10.0,,,,9.0,11.0,,,,,9.0,75.0,1.2968966666666666,103.77034833333332,2.0,3.0,1.2969283174044617,103.77040810592777,1.0,onith35
2021-04-05 18:47:58.012000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,79.0,1.2968966666666666,103.77034833333332,6.25,3.0,1.2968553404183711,103.77067380881408,54.0,onith35
2021-04-05 18:50:01.287000+08:00,9,10.0,,,,9.0,11.0,,,,,,78.0,1.2968966666666666,103.77034833333332,1.0,3.0,1.296775338946346,103.77047209390021,2.0,onith35
2021-04-06 09:58:01.041000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,78.0,1.2967483333333334,103.77039333333332,3.25,3.0,1.2967793481129313,103.77048527824464,2.0,onith35
2021-04-07 09:49:03.362000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,74.0,1.2967933333333337,103.77039333333332,6.25,3.0,1.2967803488396217,103.77047467365486,2.0,onith35
2021-04-07 09:49:40.829000+08:00,9,11.0,,,,9.0,11.0,,,,,,88.0,1.2967933333333337,103.77039333333332,4.25,3.0,1.2968764628235103,103.77050723685574,3.0,onith35
2021-04-07 09:50:27.868000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,91.0,1.2967933333333337,103.77039333333332,2.5,3.0,1.2968607070790932,103.77065188158217,54.0,onith35
2021-04-07 09:51:06.545000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,90.0,1.2967933333333337,103.77039333333332,2.75,3.0,1.296934257437561,103.77041411808378,1.0,onith35
2021-04-07 09:52:24.483000+08:00,9,11.0,,,,11.0,10.0,9.0,,,10.0,,79.0,1.2967933333333337,103.77039333333332,8.25,3.0,1.2970197721194063,103.77029922066765,0.0,onith35
2021-04-07 09:53:42.536000+08:00,9,11.0,,,,11.0,10.0,11.0,,,11.0,11.0,86.0,1.2968899999999999,103.77032666666666,13.75,3.0,1.2968657941355866,103.7703070648405,0.0,onith35
2021-04-07 10:22:01.195000+08:00,9,11.0,,,,9.0,11.0,,,,,9.0,67.0,1.2967583333333332,103.77040166666669,2.0,3.0,1.2967903374247065,103.77046173346113,2.0,onith35
2021-04-07 10:57:42.294000+08:00,9,11.0,,,,9.0,11.0,,,,,,67.0,1.2967516666666667,103.77039666666668,4.25,3.0,1.2968748377915749,103.77022675735829,0.0,onith35
