time,aloneOrInAGroup,Alone_categoryOfActivity,Group_categoryOfActivity,Group_PossiblyDistractingOthers,Online_categoryOfActivity,DistractionsNearby,NeedMorePrivacy,ALittle_WhatKindOfDistraction,ALot_WhatKindOfDistraction,WhatIsIt,whyMorePrivacyNeeded,WhatPeopleSee,heartRate,lat,lon,Accuracy,Floor,Latitude,Longitude,Space_id,Userid
2021-04-09 15:53:02.138000+08:00,9,11.0,,,,9.0,11.0,,,,,,,1.2967549999999999,103.7704,2.25,3.0,1.2967730966617061,103.7704693645772,2.0,onith03
2021-04-09 15:58:49.642000+08:00,9,11.0,,,,9.0,11.0,,,,,,,1.2967549999999999,103.7704,2.75,3.0,1.2967821403176942,103.77047161094036,2.0,onith03
2021-04-09 16:49:44.329000+08:00,9,11.0,,,,9.0,11.0,,,,,,,,,2.75,3.0,1.2967821403176942,103.77047161094036,2.0,onith03
2021-04-19 19:13:27.840000+08:00,9,10.0,,,,9.0,11.0,,,,,,,1.2967799999999998,103.77035500000001,2.25,3.0,1.2968137931136536,103.77048958184544,2.0,onith03
2021-04-19 20:28:33.419000+08:00,9,11.0,,,,9.0,11.0,,,,,,,1.2967816666666667,103.77036166666667,5.5,3.0,1.2968024885436682,103.77048284275604,2.0,onith03
2021-04-08 15:08:55.041000+08:00,10,,11.0,10.0,,11.0,11.0,11.0,,,,,62.0,1.296485,103.77035500000001,4.75,3.0,1.2968397439463342,103.77050044415743,2.0,onith26
2021-04-08 15:21:12.744000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,59.0,,,4.75,6.0,1.2971362555566568,103.77065805908079,,onith26
2021-04-08 16:34:23.090000+08:00,9,11.0,,,,9.0,11.0,,,,,,66.0,1.29651,103.770315,4.75,3.0,1.2968743558432028,103.77050898668541,3.0,onith26
2021-04-08 17:50:24.336000+08:00,9,10.0,,,,9.0,11.0,,,,,,65.0,1.2964983333333333,103.770285,3.25,3.0,1.2968689155145512,103.7704985700422,2.0,onith26
2021-04-08 20:09:06.231000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,67.0,1.29651,103.77034666666668,4.25,3.0,1.2968760565655266,103.77049153863834,,onith26
2021-04-09 14:02:32.753000+08:00,9,11.0,,,,10.0,10.0,,11.0,,9.0,,62.0,1.2965166666666668,103.770255,2.75,4.0,1.2973510423863803,103.7704042200462,,onith26
2021-04-09 14:21:11.373000+08:00,9,11.0,,,,11.0,11.0,11.0,,,9.0,,64.0,1.2964933333333333,103.77031,2.75,4.0,1.2973510423863803,103.7704042200462,,onith26
2021-04-09 14:32:40.668000+08:00,9,11.0,,,,9.0,11.0,,,,,,60.0,1.2964983333333333,103.77031333333332,2.75,4.0,1.2973510423863803,103.7704042200462,,onith26
2021-04-09 15:43:50.248000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,54.0,1.2965666666666666,103.77033,7.25,3.0,1.2968793596195691,103.77049856729799,3.0,onith26
2021-04-09 16:46:03.111000+08:00,11,,,,10.0,9.0,11.0,,,,,,63.0,1.29652,103.77028666666666,10.5,3.0,1.2968386631676216,103.77048508911919,2.0,onith26
2021-04-09 17:34:51.595000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,68.0,1.2964950000000002,103.77033,4.75,3.0,1.2967844012316914,103.77047385730349,2.0,onith26
2021-04-10 15:58:40.072000+08:00,9,11.0,,,,9.0,11.0,,,,,,59.0,1.2965316666666666,103.77026333333332,,,,,,
2021-04-10 16:28:29.245000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,70.0,1.2965566666666666,103.77020666666668,,,,,,
2021-04-10 22:05:08.996000+08:00,9,11.0,,,,9.0,11.0,,,,,,73.0,1.2965816666666663,103.77024333333334,,,,,,
2021-04-10 23:19:59.847000+08:00,9,11.0,,,,9.0,11.0,,,,,,70.0,1.296568333333333,103.77032666666666,,,,,,
2021-04-11 15:00:45.860000+08:00,9,11.0,,,,9.0,11.0,,,,,,70.0,1.2965,103.77029833333332,5.5,3.0,1.2968431849956157,103.7704805963929,2.0,onith26
2021-04-11 16:15:07.812000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,61.0,1.2964966666666666,103.77030333333332,3.25,3.0,1.2968273585976362,103.77048733548231,2.0,onith26
2021-04-11 18:54:27.770000+08:00,9,10.0,,,,9.0,11.0,,,,,,70.0,1.2966016666666669,103.77032166666666,3.25,3.0,1.2968544895656011,103.77047835002978,2.0,onith26
2021-04-12 13:15:40.154000+08:00,9,11.0,,,,9.0,11.0,,,,,,65.0,1.29648,103.77031333333332,,,,,,
2021-04-12 13:43:25.604000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,66.0,1.296475,103.77029666666668,,,,,,
2021-04-12 14:50:09.433000+08:00,9,11.0,,,,9.0,11.0,,,,,,62.0,1.2964816666666668,103.77031666666667,,,,,,
2021-04-12 15:32:28.335000+08:00,10,,10.0,11.0,,9.0,11.0,,,,,,59.0,1.2964816666666668,103.77031666666667,,,,,,
2021-04-12 17:04:00.889000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,62.0,1.2965216666666666,103.77030666666668,,,,,,
2021-04-13 20:23:19.083000+08:00,9,10.0,,,,9.0,11.0,,,,,,,,,,,,,,
2021-04-13 23:47:13.074000+08:00,9,11.0,,,,9.0,11.0,,,,,,70.0,,,,,,,,
2021-04-14 13:44:59.657000+08:00,9,11.0,,,,11.0,11.0,11.0,,,,,60.0,1.2965033333333331,103.77034333333332,5.5,3.0,1.2968522286516042,103.77052103092936,2.0,onith26
